s#,sname,sex,height,bdate,dorm
37854942,李婉慧,女,1.55,2003-07-31,东 14 舍 518
39511306,徐潇,女,1.67,2004-12-07,西 1 舍 626
42700677,田嘉仪,女,1.59,2004-12-20,东 14 舍 706
19401113,周蝶,女,1.63,2004-05-19,西 5 舍 504
12853910,姜茜惠,女,1.59,2003-12-12,西 19 舍 620
28072985,康泰骞,男,1.72,2006-10-29,东 13 舍 208
39779397,王枫宁,女,1.49,2006-08-02,东 12 舍 529
42308141,陈觅蕴,女,1.52,2006-12-12,西 1 舍 304
42925431,向秦恒,男,1.81,2005-04-11,西 13 舍 610
47453306,李畅裕,男,1.83,2002-11-21,东 13 舍 812
39768578,全青熙,女,1.63,2004-07-19,东 4 舍 315
42220004,徐略,男,1.74,2006-09-04,西 6 舍 128
15385065,崔时,男,1.81,2004-05-02,西 19 舍 227
46846343,李婉慧,女,1.59,2006-05-14,西 2 舍 720
14915823,俞秉雄,男,1.69,2003-10-29,东 16 舍 625
26030975,王芷雨,女,1.65,2003-04-05,东 3 舍 109
33658078,郁融,女,1.66,2004-06-02,东 5 舍 405
25829626,余升,男,1.65,2005-10-15,东 4 舍 101
39666781,甯旭平,男,1.78,2004-12-15,东 2 舍 820
36557012,杨元,男,1.76,2006-07-13,西 10 舍 713
32244330,孔永茂,男,1.69,2003-01-28,东 24 舍 423
19390264,张偌瑾,女,1.56,2005-10-12,东 6 舍 511
20000533,尹圣晨,男,1.71,2003-10-04,西 9 舍 625
32778097,樊雪菡,女,1.58,2004-04-03,东 15 舍 701
43715963,黄若翰,男,1.81,2003-05-21,东 9 舍 615
19400828,李茜惠,女,1.61,2004-09-02,西 24 舍 606
27502572,陈炫灿,男,1.66,2006-05-14,西 14 舍 616
23888290,杨圣晨,男,1.75,2002-12-05,西 17 舍 821
36189155,李梓琪,女,1.67,2005-02-09,西 2 舍 329
11249724,徐琪纯,女,1.63,2006-11-27,西 23 舍 830
36847153,陆素卿,女,1.63,2004-05-19,西 3 舍 306
28100249,李源泽,男,1.79,2006-06-16,西 24 舍 106
37695107,蒋歌,男,1.77,2007-01-22,西 15 舍 806
29963129,崔婉慧,女,1.71,2006-07-11,西 3 舍 820
10484912,张文芝,女,1.54,2003-11-15,西 23 舍 803
15431353,韩欣,女,1.6,2002-09-06,西 24 舍 422
19250155,李杉哲,男,1.79,2003-07-03,东 3 舍 203
18221337,刘南,男,1.65,2006-01-04,东 9 舍 814
18082907,吴梓,女,1.65,2005-04-13,西 19 舍 430
35248776,周舒瑾,女,1.65,2006-10-12,东 6 舍 523
43609342,王羽,男,1.75,2007-04-27,西 3 舍 708
13061683,李源泽,男,1.82,2003-05-03,西 23 舍 406
40161674,田清滢,女,1.55,2004-08-29,东 7 舍 112
38274721,罗嘉,男,1.72,2004-07-17,西 6 舍 822
30477008,周略,男,1.56,2005-11-14,东 23 舍 504
20126677,孙怡芬,女,1.58,2004-11-20,东 5 舍 523
31968188,张皓润,男,1.7,2004-10-18,西 1 舍 409
39051428,宋炫灿,男,1.75,2002-08-17,东 9 舍 602
15056291,马璇兰,女,1.62,2006-08-03,西 2 舍 313
43047954,陈良清,男,1.77,2003-08-22,东 24 舍 716
41170071,周宸,女,1.61,2002-10-11,东 9 舍 127
13632558,高秦齐,男,1.79,2006-11-24,东 5 舍 723
42378766,张万信,男,1.81,2004-02-19,西 18 舍 601
18855476,张偌瑾,女,1.68,2004-04-26,西 21 舍 502
17822847,欧锋玮,男,1.76,2002-09-21,西 23 舍 803
33789479,吴佳禾,女,1.58,2003-12-02,西 6 舍 204
37686107,何觅,女,1.59,2005-05-07,西 15 舍 426
42243640,陈嘉茵,女,1.7,2005-01-23,东 6 舍 406
38502971,刘冕,男,1.84,2006-02-28,东 5 舍 307
48704758,倪刚,男,1.86,2002-05-26,西 4 舍 723
28159137,张泽明,男,1.76,2006-09-26,东 18 舍 730
27146308,徐嘉和,男,1.85,2004-09-13,西 9 舍 105
44290515,胡行,男,1.76,2004-07-19,东 8 舍 717
18832443,薛偌瑾,女,1.69,2006-04-26,东 24 舍 229
22511993,张滨义,男,1.74,2006-11-09,东 9 舍 308
48994884,王清滢,女,1.49,2006-09-20,东 3 舍 203
18138568,锺皓润,男,1.74,2003-11-27,西 23 舍 505
15956736,王瑞若,男,1.69,2004-03-25,东 4 舍 117
36046870,吕舒志,男,1.83,2003-04-25,东 18 舍 429
19461421,田若翰,男,1.72,2003-02-06,西 4 舍 202
48874838,张翰,男,1.72,2002-10-16,东 19 舍 701
10257408,曹滨义,男,1.72,2007-05-06,西 7 舍 806
27097425,杨依梅,女,1.61,2003-04-19,东 13 舍 106
20324380,萧文峥,男,1.72,2003-03-01,东 13 舍 210
27658834,满馨,女,1.59,2004-07-26,西 20 舍 417
15205580,谢绮,女,1.68,2004-03-19,东 18 舍 408
26501517,梁问,女,1.57,2005-11-06,西 1 舍 622
37910518,曾慕巧,女,1.64,2005-10-12,西 19 舍 520
34027066,陈依清,女,1.64,2004-10-17,东 6 舍 126
25596997,段浚梓,男,1.72,2007-04-05,东 15 舍 724
30012405,叶棋,男,1.7,2002-08-24,西 17 舍 215
40360847,龙嘉和,男,1.74,2005-06-23,西 18 舍 121
31845237,彭秦恒,男,1.69,2003-12-25,西 6 舍 128
12315810,严思杉,男,1.73,2006-10-25,东 5 舍 510
30093714,刘清媛,女,1.58,2006-05-10,东 12 舍 210
34393476,连泰骞,男,1.69,2004-03-20,西 19 舍 603
10883066,宋觅蕴,女,1.64,2007-04-10,西 1 舍 515
21475680,吕纹窈,女,1.57,2003-03-22,东 11 舍 205
47652793,李有,男,1.78,2004-11-29,西 3 舍 430
21306700,王竽磊,男,1.84,2004-11-18,东 11 舍 329
25470263,孙文芸,女,1.67,2007-02-27,西 19 舍 728
30293227,樊竽磊,男,1.65,2006-10-11,东 2 舍 721
32093160,于庆星,男,1.59,2002-11-07,西 4 舍 111
21534462,王嘉和,男,1.75,2003-07-22,西 3 舍 620
23905763,段希嫣,女,1.64,2002-06-12,东 16 舍 223
32934223,周芷丽,女,1.6,2006-08-21,东 19 舍 323
26819227,吴浚梓,男,1.72,2005-05-07,西 15 舍 708
39637345,陈良清,男,1.73,2004-06-20,东 8 舍 402
31868386,李舒志,男,1.73,2005-11-07,东 14 舍 323
30007512,罗青波,女,1.77,2006-02-23,西 13 舍 828
14065201,孙宸,女,1.58,2005-05-22,西 24 舍 725
30917980,李频,男,1.81,2005-02-01,西 6 舍 816
46542973,徐莉,女,1.59,2005-10-10,西 22 舍 829
39408924,徐保,男,1.65,2003-02-27,西 8 舍 403
36183864,唐佑,女,1.67,2004-01-18,东 20 舍 414
12335233,黄慕巧,女,1.66,2005-03-24,东 18 舍 212
43518520,洪育,女,1.68,2005-05-20,西 4 舍 817
10596424,张昊惟,男,1.78,2003-01-09,东 12 舍 427
24503587,刘秦恒,男,1.75,2007-03-27,西 7 舍 810
33649952,刘婵,女,1.58,2007-05-11,东 24 舍 127
33641621,张娅,女,1.69,2005-10-26,西 10 舍 501
39311410,赵好,女,1.68,2002-07-05,西 18 舍 408
30551260,苏锋玮,男,1.58,2007-04-29,西 6 舍 504
14617380,赵源泽,男,1.8,2005-06-09,西 21 舍 113
40642501,曹易,女,1.74,2005-09-25,东 23 舍 212
43965760,李晓,女,1.55,2003-04-12,东 1 舍 712
32294420,傅坤灵,男,1.72,2005-07-19,东 24 舍 425
24515219,华偌瑾,女,1.62,2005-10-06,东 1 舍 619
23870188,胡梓琪,女,1.57,2003-12-23,东 7 舍 803
17743148,张怀盈,女,1.63,2002-09-25,东 24 舍 103
31067106,张祯卓,男,1.69,2002-10-24,东 13 舍 127
26494012,宋鸣哲,男,1.74,2005-10-27,西 1 舍 425
46471880,刘亦茂,男,1.71,2005-05-26,西 9 舍 719
38594163,温亦茂,男,1.74,2006-02-23,西 11 舍 216
26295228,魏筱羽,女,1.7,2007-02-18,西 18 舍 813
33325659,林圣晨,男,1.86,2005-05-01,西 11 舍 330
16742736,陈万信,男,1.71,2004-07-05,东 7 舍 816
43745174,姜秦恒,男,1.84,2004-06-15,西 17 舍 518
35203279,蓝秦齐,男,1.66,2005-08-05,西 24 舍 108
31840112,袁秉雄,男,1.74,2005-06-30,西 24 舍 213
19159043,陈源泽,男,1.81,2005-04-23,东 15 舍 804
29811403,徐祯卓,男,1.76,2003-02-01,东 12 舍 707
31926431,汪立,男,1.81,2002-07-03,东 14 舍 123
16141457,刘风,女,1.49,2005-10-10,西 16 舍 201
44085667,鲁芷雨,女,1.69,2006-02-20,西 11 舍 210
44819746,陈舒瑾,女,1.62,2007-03-17,东 23 舍 330
12709922,史亦茂,男,1.65,2005-01-21,东 5 舍 116
47931607,高波,男,1.78,2005-08-06,东 9 舍 503
15514129,杨梦,女,1.59,2005-03-20,西 16 舍 616
31129743,叶振,男,1.69,2002-11-28,西 20 舍 505
23581980,林竣,男,1.66,2006-04-09,西 1 舍 607
13779014,蔡振,女,1.67,2006-11-25,东 2 舍 630
12303791,徐掣,男,1.7,2007-04-28,西 18 舍 305
19011713,吴琪纯,女,1.56,2004-08-27,东 13 舍 715
43396276,梁炫灿,男,1.76,2005-10-07,西 10 舍 118
34537397,张晨纶,男,1.78,2007-03-22,西 19 舍 725
27538306,赵素卿,女,1.65,2005-10-29,东 1 舍 829
36096600,傅甜,女,1.63,2006-01-24,东 11 舍 527
15631925,石浩泽,男,1.8,2002-06-18,东 11 舍 517
20645352,贺嘉茵,女,1.52,2003-05-20,西 20 舍 519
18195451,高缦,女,1.61,2003-04-27,东 5 舍 210
28279827,唐信霖,男,1.72,2003-07-20,西 18 舍 511
22634797,李万信,男,1.8,2002-08-16,东 22 舍 404
42500131,沈泽元,男,1.7,2003-08-13,西 11 舍 207
23427894,章德东,男,1.73,2004-11-13,西 3 舍 727
46031258,钱昊,女,1.68,2007-04-27,西 2 舍 627
21236215,盛嘉仪,女,1.6,2005-12-12,东 22 舍 101
49726737,刘芷蕊,女,1.47,2003-02-27,东 20 舍 120
31826542,庞紫,女,1.57,2003-01-29,西 21 舍 228
11225086,黄书琴,女,1.5,2006-08-10,东 8 舍 811
12134731,张锋玮,男,1.77,2006-03-15,东 4 舍 110
43395696,颜励,男,1.88,2004-10-27,西 15 舍 418
28572941,孙铭锵,男,1.74,2006-05-23,西 21 舍 422
18379972,王亦茂,男,1.67,2007-01-12,西 14 舍 223
45903757,吴旭平,男,1.84,2006-01-17,东 24 舍 615
27971212,单泽明,男,1.71,2006-03-26,西 8 舍 510
27454894,罗依彤,女,1.72,2004-02-23,西 21 舍 801
18495101,侯红,女,1.63,2006-03-19,东 23 舍 406
13630938,李素卿,女,1.6,2003-05-26,西 21 舍 727
37312453,赵君启,男,1.77,2002-09-09,西 23 舍 626
28905722,陈玮,女,1.67,2006-04-23,东 18 舍 328
46578236,曹博罗,男,1.78,2005-10-11,东 19 舍 617
20119027,王云诺,男,1.68,2006-02-10,西 3 舍 809
32294907,冯普,女,1.64,2006-02-26,东 19 舍 626
18227292,郭珅南,男,1.7,2003-09-29,东 18 舍 608
22467890,程令,女,1.7,2007-02-23,东 14 舍 101
40301245,尤书琴,女,1.59,2002-12-22,东 18 舍 814
15963104,张福,男,1.78,2004-10-18,西 3 舍 215
19040067,王昭美,女,1.62,2007-04-25,东 20 舍 203
11830871,刘丹,女,1.65,2005-07-02,东 1 舍 613
48019700,朱玮,男,1.71,2003-08-30,东 5 舍 509
34567392,翁光,女,1.67,2007-01-20,西 6 舍 323
21141960,黄泽元,男,1.84,2003-09-09,西 8 舍 303
20295688,杨泰骞,男,1.81,2004-09-19,东 13 舍 725
38882684,阎全,男,1.9,2004-01-23,西 9 舍 321
14537581,李旭平,男,1.66,2007-01-07,东 5 舍 520
38567919,韩东,男,1.79,2005-01-24,西 4 舍 310
37628108,郭宛霞,女,1.75,2003-10-13,东 16 舍 218
48239051,刘纯,女,1.58,2003-11-07,西 19 舍 419
25960293,刘新菱,女,1.6,2004-11-13,东 7 舍 322
29772785,李冉,女,1.56,2005-10-11,西 13 舍 708
34715604,俞舒瑾,女,1.58,2003-10-14,东 7 舍 318
13941832,任贯,男,1.81,2007-02-26,西 6 舍 601
45040471,胡青波,女,1.73,2003-01-06,东 11 舍 519
13752135,谢琪纯,女,1.66,2002-12-11,东 7 舍 829
32831344,尚亦茂,男,1.87,2007-03-15,东 12 舍 523
18796247,何泽元,男,1.61,2005-04-29,西 19 舍 605
27509141,卢旭平,男,1.74,2006-08-07,西 6 舍 811
43316586,黄美,女,1.71,2003-09-11,东 1 舍 117
13377389,梁舒志,男,1.73,2004-02-05,西 19 舍 308
16048638,丘清深,男,1.76,2003-06-25,东 21 舍 527
16176552,张劭,男,1.79,2006-09-05,东 24 舍 501
45667153,梁纹窈,女,1.64,2004-07-04,西 15 舍 413
44533977,王松樱,女,1.63,2004-05-10,西 17 舍 811
45355680,胡肖,女,1.64,2007-04-28,东 3 舍 319
34694311,彭纹珊,女,1.71,2004-07-25,西 16 舍 224
20506453,吴琪纯,女,1.75,2004-03-16,东 21 舍 407
42599554,梁旖,男,1.66,2005-09-29,东 11 舍 519
49298625,曾至,男,1.85,2002-11-23,西 23 舍 410
43780645,乔明泉,男,1.73,2005-06-11,东 7 舍 718
47984879,李珅南,男,1.75,2006-03-17,西 14 舍 305
40562892,刘慕巧,女,1.62,2006-09-30,西 13 舍 829
22687802,黎略,男,1.68,2006-04-11,东 6 舍 114
33807060,彭若翰,男,1.67,2006-05-03,东 18 舍 613
26853675,张云诺,男,1.82,2006-10-15,东 9 舍 514
23185029,骆罡,男,1.69,2003-03-27,西 22 舍 214
16938696,方亦茂,男,1.65,2005-02-17,西 9 舍 417
16125939,李秦恒,男,1.78,2006-05-26,西 17 舍 111
34343686,保伊,女,1.65,2004-08-04,西 6 舍 416
22086966,白若翰,男,1.73,2006-11-30,西 8 舍 507
36942380,张良清,男,1.7,2006-12-25,西 11 舍 525
43017193,李偌瑾,女,1.58,2006-09-05,西 1 舍 721
19273529,易灏风,男,1.72,2004-06-08,东 12 舍 120
11304995,周慕鸿,男,1.72,2006-10-30,西 7 舍 717
32155600,丁聚,男,1.82,2006-12-21,西 9 舍 712
40124844,吴博罗,男,1.87,2002-07-08,东 6 舍 520
33927228,毛新菱,女,1.58,2005-04-13,东 12 舍 124
46885637,陈灏风,男,1.8,2005-12-31,东 3 舍 701
33622391,武雅惠,女,1.72,2006-05-17,西 18 舍 314
30600935,俞德东,男,1.72,2005-06-05,东 7 舍 315
25694640,郭楚菱,女,1.68,2005-07-24,西 11 舍 323
39740029,李偌瑾,女,1.62,2005-01-26,东 8 舍 405
15815761,林蔚,女,1.64,2006-01-19,东 12 舍 415
21946683,应银,女,1.61,2007-04-18,东 21 舍 129
25782982,夏泽若,男,1.79,2005-05-21,西 6 舍 616
38536415,夏鑫,男,1.86,2003-10-27,东 3 舍 217
28446004,王昊,女,1.6,2004-01-24,东 16 舍 507
42818365,胡芷丽,女,1.61,2003-07-21,东 2 舍 619
41418160,张亦茂,男,1.66,2006-10-19,东 9 舍 108
40377990,张亦茂,男,1.71,2003-07-24,西 19 舍 102
10054227,胡思杉,男,1.77,2004-06-09,东 12 舍 622
44522588,张璇兰,女,1.55,2006-11-30,东 15 舍 311
23647353,陈林灏,男,1.73,2002-11-23,东 12 舍 429
20435956,丛纹珊,女,1.57,2005-01-18,西 9 舍 410
21576241,许书琴,女,1.64,2004-05-23,东 3 舍 219
35219657,陈茜惠,女,1.64,2004-03-20,东 20 舍 806
12721503,胡琪纯,女,1.7,2002-10-12,西 1 舍 701
11131483,薛纹珊,女,1.66,2006-10-06,东 7 舍 629
19769395,陈矾,男,1.92,2002-07-12,西 18 舍 217
35421990,李珅南,男,1.93,2005-03-10,东 3 舍 324
21463869,李婉慧,女,1.68,2005-04-05,西 2 舍 128
28541391,刘明泉,男,1.8,2003-06-16,东 13 舍 208
43973289,姬新菱,女,1.6,2005-02-25,东 6 舍 703
27413247,谈珅南,男,1.7,2005-05-03,东 11 舍 722
17966554,蔡茹,女,1.61,2002-09-13,西 6 舍 619
33500333,周宇,女,1.6,2006-04-20,东 22 舍 118
18385892,夏浩泽,男,1.79,2005-05-17,东 12 舍 521
16330945,孙明泉,男,1.73,2006-09-13,东 3 舍 413
40608052,韦信霖,男,1.79,2002-11-16,西 20 舍 730
34185548,蔡偌瑾,女,1.69,2003-12-03,东 13 舍 530
37384221,沈碧恬,女,1.61,2006-04-27,东 24 舍 105
15196613,张文芝,女,1.64,2007-02-11,东 21 舍 622
30111921,余纹珊,女,1.62,2003-01-08,西 2 舍 603
29643120,杜圣晨,男,1.7,2005-12-25,东 6 舍 601
44184595,张亦茂,男,1.77,2005-10-28,东 4 舍 714
14507664,金丹华,女,1.62,2004-12-24,东 9 舍 716
46165134,凌亦茂,男,1.74,2006-03-08,东 1 舍 504
41303696,高贝韵,女,1.62,2006-06-04,西 9 舍 428
16956561,曾思杉,男,1.81,2005-04-24,西 15 舍 813
42316223,谢爽,女,1.66,2007-03-16,东 17 舍 425
42163718,罗茜惠,女,1.61,2005-03-13,东 13 舍 209
41697701,薛钧,男,1.75,2004-12-27,东 10 舍 418
48100010,孙痴,女,1.69,2003-08-06,东 5 舍 308
40280248,张碧,女,1.6,2006-08-31,东 10 舍 615
40745384,杨泽元,男,1.65,2005-02-24,西 11 舍 802
37744735,任文芸,女,1.63,2006-05-06,东 4 舍 315
26282209,秦枫,女,1.67,2004-11-17,东 4 舍 610
15787812,王芷丽,女,1.67,2002-08-08,东 7 舍 310
14057043,程云诺,男,1.72,2002-10-04,东 15 舍 211
36113322,顾夏怡,女,1.57,2006-10-27,西 15 舍 323
35929355,黄毓,女,1.6,2004-01-31,东 20 舍 330
16150553,潘偌瑾,女,1.52,2002-12-27,东 15 舍 212
41223857,芦泰骞,男,1.69,2005-04-22,西 3 舍 601
28847875,赖筱羽,女,1.67,2003-12-08,东 1 舍 614
37855346,尹皓润,男,1.72,2006-11-04,西 6 舍 410
10121689,李征风,男,1.75,2003-08-15,东 18 舍 810
23412410,于芬,女,1.63,2003-05-26,西 7 舍 106
41147112,魏志,男,1.69,2003-12-17,西 20 舍 417
36830485,王明泉,男,1.73,2005-04-25,东 18 舍 719
44645707,陈昭美,女,1.58,2003-09-07,东 14 舍 712
40805751,胡秉雄,男,1.7,2003-10-20,西 7 舍 216
22196521,唐煜,女,1.56,2002-07-24,西 2 舍 626
44204928,朱槐,女,1.63,2004-08-19,东 17 舍 310
41351257,白雅妙,女,1.7,2004-10-30,西 14 舍 523
48530843,王夏怡,女,1.66,2005-06-05,西 4 舍 102
43600446,沈瀛,男,1.75,2004-02-29,西 3 舍 519
43787280,严正,男,1.74,2007-01-26,东 12 舍 704
42455916,李滨义,男,1.73,2002-07-04,西 19 舍 729
11916327,王砂,男,1.71,2005-04-02,西 5 舍 712
45752802,李易,男,1.79,2004-08-31,西 3 舍 519
16963476,解思杉,男,1.81,2003-05-01,西 8 舍 326
27111724,牛奕宗,男,1.83,2004-09-27,东 19 舍 515
14769931,刘纹窈,女,1.55,2005-06-19,西 21 舍 619
31226577,张自昊,男,1.71,2005-01-20,东 8 舍 316
27398468,胡嘉和,男,1.73,2007-02-06,西 16 舍 314
20527073,宋沧,男,1.61,2004-07-27,东 12 舍 706
11802867,郑怀盈,女,1.73,2005-03-03,东 17 舍 801
15693924,曾贝韵,女,1.67,2006-06-30,西 21 舍 626
29279350,李忆狄,男,1.71,2002-07-06,东 8 舍 205
14576520,王书,男,1.73,2006-09-03,东 3 舍 227
11909966,郑浩,女,1.57,2006-06-10,西 7 舍 128
46113062,周觅蕴,女,1.61,2005-10-08,西 6 舍 723
37488329,刘生,男,1.75,2002-10-11,东 11 舍 612
48343429,杜若翰,男,1.69,2002-08-08,西 6 舍 426
23714856,黄宛晴,女,1.74,2006-04-15,西 16 舍 202
15496036,卢纹珊,女,1.57,2006-09-14,东 5 舍 212
24306153,胡蕴宁,女,1.66,2003-04-21,东 21 舍 217
47875341,刘枫宁,女,1.63,2004-10-06,东 23 舍 101
40762427,冯凯,男,1.82,2002-08-25,西 4 舍 826
30769970,李浦宇,男,1.86,2005-07-27,西 19 舍 322
16977279,汪贝韵,女,1.63,2006-11-16,西 15 舍 526
23633921,徐青熙,女,1.6,2006-06-20,西 14 舍 512
49219978,朱玫,男,1.73,2004-10-10,西 8 舍 521
48493324,高赫,女,1.75,2005-07-23,西 1 舍 404
44545390,包征风,男,1.81,2005-07-13,东 2 舍 119
12135425,李科,男,1.79,2006-12-15,西 8 舍 608
24999201,白秦恒,男,1.74,2005-10-30,东 20 舍 304
43303287,温源,女,1.63,2005-09-29,东 24 舍 116
37733129,陆澔,男,1.82,2006-05-04,东 2 舍 725
19274576,汪鸣哲,男,1.79,2005-02-13,西 16 舍 418
30155440,罗庆星,男,1.76,2005-01-26,东 2 舍 315
46122309,廖皓润,男,1.77,2004-04-19,西 7 舍 203
38396662,陈良清,男,1.7,2003-02-10,东 10 舍 202
22261515,陈溪,女,1.54,2007-03-09,西 2 舍 821
45589805,王怀盈,女,1.61,2003-07-15,东 9 舍 104
22009759,李奎,男,1.74,2004-01-31,东 24 舍 829
30236775,范芷雨,女,1.54,2006-10-29,东 14 舍 219
